"contrast","gene_id","gene_symbol","effect","p_exact","q_storey"
"R_Tumor","ENSG00000110987.9","BCL7A",0.872222222222222,0.000373104707470033,0.0793079109945445
"R_Tumor","ENSG00000121413.13","ZSCAN18",0.883333333333333,0.000373449855210523,0.0793079109945445
"R_Tumor","ENSG00000124614.16","RPS10",0.111111111111111,0.000374025101444673,0.0793079109945445
"R_Tumor","ENSG00000151917.18","BEND6",0.127777777777778,0.000377246480355916,0.0793079109945445
"R_Tumor","ENSG00000145220.14","LYAR",0.105555555555556,0.000381963499475951,0.0793079109945445
"R_Tumor","ENSG00000132881.12","CPLANE2",0.888888888888889,0.000383113991944252,0.0793079109945445
"R_Tumor","ENSG00000101193.8","GID8",0.883333333333333,0.000387255764830136,0.0793079109945445
"R_Tumor","ENSG00000109265.14","CRACD",0.105555555555556,0.000401406822190239,0.0793079109945445
"R_Tumor","ENSG00000135549.15","PKIB",0.127777777777778,0.000423381228334789,0.0793079109945445
"R_Tumor","ENSG00000151287.17","TEX30",0.127777777777778,0.000426372508752371,0.0793079109945445
"R_Tumor","ENSG00000170892.12","TSEN34",0.888888888888889,0.000449382358118393,0.0793079109945445
"R_Tumor","ENSG00000263001.7","GTF2I",0.866666666666667,0.000449727505858883,0.0793079109945445
"R_Tumor","ENSG00000167967.16","E4F1",0.877777777777778,0.00046871063158585,0.0793079109945445
"R_Tumor","ENSG00000073050.12","XRCC1",0.888888888888889,0.000486888412585007,0.0793079109945445
"R_Tumor","ENSG00000100403.12","ZC3H7B",0.883333333333333,0.000488384052793798,0.0793079109945445
"R_Tumor","ENSG00000185436.12","IFNLR1",0.866666666666667,0.000495862253837755,0.0793079109945445
"R_Tumor","ENSG00000167460.17","TPM4",0.127777777777778,0.000497127795552886,0.0793079109945445
"R_Tumor","ENSG00000072201.14","LNX1",0.872222222222222,0.000508517670989067,0.0793079109945445
"R_Tumor","ENSG00000116062.17","MSH6",0.127777777777778,0.000510473508185179,0.0793079109945445
"R_Tumor","ENSG00000185813.11","PCYT2",0.866666666666667,0.000518411906216456,0.0793079109945445
"R_Tumor","ENSG00000121552.4","CSTA",0.133333333333333,0.000523589122323811,0.0793079109945445
"R_Tumor","ENSG00000136059.14","VILL",0.877777777777778,0.00053359840679803,0.0793079109945445
